,root_id,upstream_lowsalt_2Ns,lowsalt_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_lowsalt_input,avg_upstream_synapses
53,720575940617393625,1,23,1,ACH,left,1168.0,1086.0,0,1,0,23,-23,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.9691780821917808,23.0
54,720575940617492436,1,13,1,ACH,left,27.0,82.0,1,0,13,0,13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,48.148148148148145,13.0
55,720575940617494877,1,12,1,ACH,right,1561.0,1208.0,0,1,0,12,-12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7687379884689303,12.0
56,720575940617828766,2,142,1,ACH,right,180.0,585.0,0,2,0,142,-142,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,78.88888888888889,71.0
57,720575940618025199,2,69,1,SER,right,94.0,273.0,0,2,0,69,-69,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,73.40425531914893,34.5
58,720575940618029733,1,10,1,ACH,right,34.0,472.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,29.411764705882355,10.0
59,720575940618098459,1,20,1,GABA,left,554.0,511.0,1,0,20,0,20,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.6101083032490973,20.0
60,720575940618859480,2,30,1,ACH,left,1211.0,934.0,0,2,0,30,-30,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.477291494632535,15.0
61,720575940618887217,2,28,1,SER,right,54.0,50.0,0,2,0,28,-28,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,51.85185185185185,14.0
62,720575940619096536,1,21,1,GABA,left,3370.0,2944.0,1,0,21,0,21,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,0.6231454005934718,21.0
