,root_id,upstream_bitter_2Ns,bitter_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_bitter_input,avg_upstream_synapses,neuron_type,#_projection_synapses
58,720575940614128691,2,69,1,ACH,left,1168.0,556.0,1,1,11,58,-47,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.907534246575342,34.5,projection,10
59,720575940614137651,3,133,1,GABA,left,607.0,1533.0,2,1,118,15,103,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,21.911037891268535,44.333333333333336,projection,674
60,720575940614660519,1,18,1,DA,right,1625.0,578.0,0,1,0,18,-18,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.1076923076923075,18.0,local,0
61,720575940614702239,1,10,1,GLUT,right,189.0,60.0,1,0,10,0,10,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.291005291005291,10.0,projection,43
62,720575940614736290,1,73,1,GLUT,left,1959.0,1719.0,1,0,73,0,73,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,3.7263910158244005,73.0,local,0
63,720575940614965691,1,61,1,,left,589.0,501.0,1,0,61,0,61,non activated,bitter,non activated,non activated,activated,activated,activated,activated,activated,10.35653650254669,61.0,local,0
64,720575940615050346,2,21,1,ACH,right,448.0,838.0,2,0,21,0,21,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.6875,10.5,local,0
65,720575940615153494,1,16,1,ACH,right,686.0,1059.0,0,1,0,16,-16,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.3323615160349855,16.0,local,0
66,720575940615641798,2,31,1,SER,right,37.0,38.0,0,2,0,31,-31,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,83.78378378378379,15.5,local,0
67,720575940615671106,2,53,1,ACH,left,5536.0,1260.0,0,2,0,53,-53,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.9573699421965318,26.5,local,0
68,720575940615672130,1,11,1,ACH,right,3116.0,1486.0,0,1,0,11,-11,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.35301668806161746,11.0,local,0
69,720575940615811670,1,29,1,ACH,right,1542.0,2527.0,0,1,0,29,-29,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.880674448767834,29.0,local,0
70,720575940616014092,3,131,1,ACH,left,3885.0,1970.0,0,3,0,131,-131,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.371943371943372,43.666666666666664,local,0
71,720575940616194610,1,17,1,GLUT,right,1657.0,2421.0,0,1,0,17,-17,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.0259505129752564,17.0,local,0
72,720575940616217403,1,19,1,GLUT,right,1616.0,886.0,1,0,19,0,19,non activated,bitter,non activated,non activated,non activated,non activated,non activated,activated,activated,1.1757425742574257,19.0,local,0
73,720575940616298171,2,32,1,GLUT,right,809.0,1073.0,2,0,32,0,32,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.955500618046971,16.0,local,0
74,720575940616308921,1,13,1,ACH,left,47.0,138.0,0,1,0,13,-13,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,27.659574468085108,13.0,local,0
75,720575940616497477,1,13,1,ACH,right,407.0,213.0,0,1,0,13,-13,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.194103194103194,13.0,local,0
76,720575940616597334,1,15,1,GABA,left,793.0,149.0,1,0,15,0,15,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8915510718789406,15.0,local,0
77,720575940616644411,1,18,1,GABA,right,3807.0,3101.0,1,0,18,0,18,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.4728132387706856,18.0,projection,2507
78,720575940616769497,1,10,1,ACH,right,280.0,65.0,1,0,10,0,10,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.571428571428571,10.0,projection,61
79,720575940616791709,1,10,1,ACH,right,2458.0,1523.0,1,0,10,0,10,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.40683482506102525,10.0,local,0
80,720575940616848214,1,43,1,ACH,left,2937.0,3726.0,0,1,0,43,-43,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.4640789921688797,43.0,local,0
81,720575940616921152,7,334,1,ACH,left,3431.0,1781.0,6,1,124,210,-86,non activated,bitter,activated,non activated,non activated,non activated,non activated,non activated,non activated,9.734771203730691,47.714285714285715,local,0
82,720575940616974941,2,35,1,GLUT,right,206.0,58.0,2,0,35,0,35,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,16.990291262135923,17.5,projection,37
83,720575940617239197,2,29,1,SER,right,43.0,26.0,0,2,0,29,-29,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,67.44186046511628,14.5,local,0
84,720575940617393625,1,32,1,ACH,left,1168.0,1086.0,0,1,0,32,-32,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.73972602739726,32.0,local,0
85,720575940617465137,1,22,1,GLUT,left,153.0,88.0,1,0,22,0,22,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,14.37908496732026,22.0,projection,49
86,720575940617488477,2,24,1,GLUT,right,1687.0,1120.0,0,2,0,24,-24,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.4226437462951986,12.0,local,0
87,720575940617494877,2,61,1,ACH,right,1561.0,1208.0,0,2,0,61,-61,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.9077514413837284,30.5,local,0
88,720575940617535552,1,23,1,ACH,left,66.0,40.0,0,1,0,23,-23,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,34.84848484848485,23.0,local,0
